,dcterms:identifier{Literal},dcterms:creator{URIRef}[0],dcterms:creator{URIRef}[1],dcterms:creator{URIRef}[2],dcterms:creator{URIRef}[3],dcterms:creator{URIRef}[4],dcterms:creator{URIRef}[5],dcterms:creator{URIRef}[6],dcterms:creator{URIRef}[7],dcterms:creator{URIRef}[8],dcterms:creator{URIRef}[9],dcterms:creator{URIRef}[10],dcterms:creator{URIRef}[11],dcterms:creator{URIRef}[12],dcterms:creator{URIRef}[13],dcterms:creator{URIRef}[14],dcterms:creator{URIRef}[15],dcterms:creator{URIRef}[16],dcterms:creator{URIRef}[17],dcterms:creator{URIRef}[18],dcterms:creator{URIRef}[19],dcterms:creator{URIRef}[20],dcterms:creator{URIRef}[21],dcterms:creator{URIRef}[22],dcterms:creator{URIRef}[23],dcterms:creator{URIRef}[24],dcterms:creator{URIRef}[25],dcterms:creator{URIRef}[26],dcterms:creator{URIRef}[27],dcterms:creator{URIRef}[28],dcterms:creator{URIRef}[29],dcterms:creator{URIRef}[30],dcterms:creator{URIRef}[31],dcterms:creator{URIRef}[32],dcterms:creator{URIRef}[33],dcterms:creator{URIRef}[34],dcterms:creator{URIRef}[35],dcterms:creator{URIRef}[36],dcterms:creator{URIRef}[37],dcterms:creator{URIRef}[38],cito:cites{URIRef}[0],cito:cites{URIRef}[1],cito:cites{URIRef}[2],cito:cites{URIRef}[3],cito:cites{URIRef}[4],cito:cites{URIRef}[5],cito:cites{URIRef}[6],cito:cites{URIRef}[7],cito:cites{URIRef}[8],cito:cites{URIRef}[9],cito:cites{URIRef}[10],cito:cites{URIRef}[11],cito:cites{URIRef}[12],cito:cites{URIRef}[13],cito:cites{URIRef}[14],cito:cites{URIRef}[15],cito:cites{URIRef}[16],cito:cites{URIRef}[17],cito:cites{URIRef}[18],cito:cites{URIRef}[19],cito:cites{URIRef}[20],cito:cites{URIRef}[21],cito:cites{URIRef}[22],cito:cites{URIRef}[23],cito:cites{URIRef}[24],cito:cites{URIRef}[25],cito:cites{URIRef}[26],cito:cites{URIRef},cito:cites{URIRef}[27],cito:cites{URIRef}[28],cito:cites{URIRef}[29],cito:cites{URIRef}[30],cito:cites{URIRef}[31],cito:cites{URIRef}[32],cito:cites{URIRef}[33],cito:cites{URIRef}[34],cito:cites{URIRef}[35],cito:cites{URIRef}[36],cito:cites{URIRef}[37],cito:cites{URIRef}[38],cito:cites{URIRef}[39],cito:cites{URIRef}[40],cito:cites{URIRef}[41],cito:cites{URIRef}[42],cito:cites{URIRef}[43],cito:cites{URIRef}[44],cito:cites{URIRef}[45],cito:cites{URIRef}[46],cito:cites{URIRef}[47],cito:cites{URIRef}[48],cito:cites{URIRef}[49],cito:cites{URIRef}[50],cito:cites{URIRef}[51],cito:cites{URIRef}[52],cito:cites{URIRef}[53],cito:cites{URIRef}[54],cito:cites{URIRef}[55],cito:cites{URIRef}[56],cito:cites{URIRef}[57],cito:cites{URIRef}[58],cito:cites{URIRef}[59],cito:cites{URIRef}[60],cito:cites{URIRef}[61],cito:cites{URIRef}[62],cito:cites{URIRef}[63],cito:cites{URIRef}[64],cito:cites{URIRef}[65],cito:cites{URIRef}[66],cito:cites{URIRef}[67],cito:cites{URIRef}[68],cito:cites{URIRef}[69],cito:cites{URIRef}[70],cito:cites{URIRef}[71],cito:cites{URIRef}[72],cito:cites{URIRef}[73],cito:cites{URIRef}[74],cito:cites{URIRef}[75],cito:cites{URIRef}[76],cito:cites{URIRef}[77],cito:cites{URIRef}[78],cito:cites{URIRef}[79],cito:cites{URIRef}[80],cito:cites{URIRef}[81],cito:cites{URIRef}[82],cito:cites{URIRef}[83],cito:cites{URIRef}[84],cito:cites{URIRef}[85],cito:cites{URIRef}[86],cito:cites{URIRef}[87],cito:cites{URIRef}[88],cito:cites{URIRef}[89],cito:cites{URIRef}[90],cito:cites{URIRef}[91],cito:cites{URIRef}[92],cito:cites{URIRef}[93],cito:cites{URIRef}[94],cito:cites{URIRef}[95],cito:cites{URIRef}[96],cito:cites{URIRef}[97],titre,domaine,train
http://data.persee.fr/doc/syria_0039-7946_1977_num_54_1_8558_t1_0129_0000_3#Web,https://www.persee.fr/doc/syria_0039-7946_1977_num_54_1_8558_t1_0129_0000_3,http://data.persee.fr/authority/350490#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nahman Avigad, Bullae and Seals from a Post-Exilic Judean Archive. (Monographs of the Institute of Archaeology, The Hebrew University of Jerusalem)",Histoire,True
http://data.persee.fr/doc/xxs_0294-1759_1998_num_60_1_2766#Web,https://www.persee.fr/doc/xxs_0294-1759_1998_num_60_1_2766,http://data.persee.fr/authority/286662#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mémoires en réponse,Histoire,True
http://data.persee.fr/doc/scrip_0036-9772_1999_num_53_2_1891#Web,https://www.persee.fr/doc/scrip_0036-9772_1999_num_53_2_1891,http://data.persee.fr/authority/260706#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Codex Phillippicus 4211 and the manuscript tradition of Oppian of Apamea's Cynegetica,Litterature,True
http://data.persee.fr/doc/rscir_0035-2217_1931_num_11_2_1520#Web,https://www.persee.fr/doc/rscir_0035-2217_1931_num_11_2_1520,http://data.persee.fr/authority/280316#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note sur un auteur cité par Nicolas de Cusa,Religion theologie,True
http://data.persee.fr/doc/rscir_0035-2217_1948_num_22_3_1861#Web,https://www.persee.fr/doc/rscir_0035-2217_1948_num_22_3_1861,http://data.persee.fr/authority/280324#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A propos des saints canonisés dans les Églises orthodoxes,Religion theologie,True
http://data.persee.fr/doc/scrip_0036-9772_1980_num_34_2_3673#Web,https://www.persee.fr/doc/scrip_0036-9772_1980_num_34_2_3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planches,Litterature,True
http://data.persee.fr/doc/thlou_0080-2654_2001_num_32_1_3137_t1_0131_0000_3#Web,https://www.persee.fr/doc/thlou_0080-2654_2001_num_32_1_3137_t1_0131_0000_3,http://data.persee.fr/authority/286347#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Armand le Bourgeois, Divorcés remariés mes frères. 25 ans à leur service. Entretiens avec Michel Legrain. 1998",Religion theologie,True
http://data.persee.fr/doc/rscir_0035-2217_1976_num_50_1_2750_t1_0083_0000_1#Web,https://www.persee.fr/doc/rscir_0035-2217_1976_num_50_1_2750_t1_0083_0000_1,http://data.persee.fr/authority/280320#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salvatore Nicolosi, L'Odissea della ragione. Il primo Blondel e l'itinerario della filosofia, 1970",Religion theologie,True
http://data.persee.fr/doc/tlgpa_0249-647x_2001_num_20_1_990#Web,https://www.persee.fr/doc/tlgpa_0249-647x_2001_num_20_1_990,http://data.persee.fr/authority/243433#Person,http://data.persee.fr/authority/397570#Person,http://data.persee.fr/authority/700671#Person,http://data.persee.fr/authority/702960#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le fond du Bassin d'Arcachon est-il pollué ? Les enjeux,Sciences Terre,True
http://data.persee.fr/doc/thlou_0080-2654_2002_num_33_3_3241_t1_0439_0000_2#Web,https://www.persee.fr/doc/thlou_0080-2654_2002_num_33_3_3241_t1_0439_0000_2,http://data.persee.fr/authority/282293#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christopher Dawson, Newman et la modernité. L'épopée du mouvement d'Oxford, traduit de l'anglais par G. Joulié. 2001",Religion theologie,True
http://data.persee.fr/doc/spgeo_0046-2497_1989_num_18_2_2848#Web,https://www.persee.fr/doc/spgeo_0046-2497_1989_num_18_2_2848,http://data.persee.fr/authority/399158#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sur un espace intellectuel,Science environmnt,True
http://data.persee.fr/doc/shmes_1261-9078_1991_act_18_1_1959#Web,https://www.persee.fr/doc/shmes_1261-9078_1991_act_18_1_1959,http://data.persee.fr/authority/177716#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Préface,Histoire,True
http://data.persee.fr/doc/sosan_0294-0337_2000_num_18_2_1493#Web,https://www.persee.fr/doc/sosan_0294-0337_2000_num_18_2_1493,http://data.persee.fr/authority/200949#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accéder au pouvoir par les technologies : femmes et science dans la recherche sur les microbicides,Sociologie,True
http://data.persee.fr/doc/thlou_0080-2654_2003_num_34_2_3291#Web,https://www.persee.fr/doc/thlou_0080-2654_2003_num_34_2_3291,http://data.persee.fr/authority/276658#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Septante, témoin de la plus ancienne forme conservée de l'histoire de Salomon : 1 Rois (III Règnes) 2-14",Religion theologie,True
http://data.persee.fr/doc/saltu_0000-0000_1921_num_1_1_1170#Web,https://athar.persee.fr/doc/saltu_0000-0000_1921_num_1_1_1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direction des services économiques indigènes,Arts (h. art archi.),True
http://data.persee.fr/doc/thlou_0080-2654_2008_num_39_1_3652_t1_0085_0000_1#Web,https://www.persee.fr/doc/thlou_0080-2654_2008_num_39_1_3652_t1_0085_0000_1,http://data.persee.fr/authority/276295#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joseph Moingt, Dieu qui vient à l'homme, t. II : De l'apparition à la naissance de Dieu, 2. Naissance (coll. Cogitatio Fidei, 257), 2007",Religion theologie,True
http://data.persee.fr/doc/syria_0039-7946_1923_num_4_1_8241#Web,https://www.persee.fr/doc/syria_0039-7946_1923_num_4_1_8241,http://data.persee.fr/authority/235241#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nouvelles archéologiques,Histoire,True
http://data.persee.fr/doc/sotra_0038-0296_1998_num_40_4_1322_t1_0527_0000_4#Web,https://www.persee.fr/doc/sotra_0038-0296_1998_num_40_4_1322_t1_0527_0000_4,http://data.persee.fr/authority/282058#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"François Eymard-Duvernay et Emmanuelle Marchal, Façons de recruter, le jugement des compétences sur le marché du travail, 1996",Sociologie,True
http://data.persee.fr/doc/rscir_0035-2217_1957_num_31_1_2144_t1_0089_0000_2#Web,https://www.persee.fr/doc/rscir_0035-2217_1957_num_31_1_2144_t1_0089_0000_2,http://data.persee.fr/authority/284920#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caxl Erdmann, Die Entstehung des Kreuzzugsgedankens, 1955",Religion theologie,True
http://data.persee.fr/doc/tiers_0040-7356_1974_num_15_59_2033#Web,https://www.persee.fr/doc/tiers_0040-7356_1974_num_15_59_2033,http://data.persee.fr/authority/54928#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Systèmes éducatifs et dynamique du développement en Afrique. Une analyse comparée : Kenya versus Tanzanie,Science politique,True
http://data.persee.fr/doc/scrip_0036-9772_2007_num_61_2_4234_t9_0444_0000_1#Web,https://www.persee.fr/doc/scrip_0036-9772_2007_num_61_2_4234_t9_0444_0000_1,http://data.persee.fr/authority/260731#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dukan (Michèle). La Bible hébraïque. Les codices copiés en Orient et dans la zone séfarade avant 1280, Turnhout, 2006 (Bibliologia 22)",Litterature,True
http://data.persee.fr/doc/rural_0014-2182_1963_num_11_1_1111_t1_0110_0000_2#Web,https://www.persee.fr/doc/rural_0014-2182_1963_num_11_1_1111_t1_0110_0000_2,http://data.persee.fr/authority/29846#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Günther Franz, Der dreissigjährige Krieg und das deutsche Volk",Pluri. Par essence,True
http://data.persee.fr/doc/thlou_0080-2654_1995_num_26_1_2744_t1_0104_0000_2#Web,https://www.persee.fr/doc/thlou_0080-2654_1995_num_26_1_2744_t1_0104_0000_2,http://data.persee.fr/authority/276627#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S. Muratore (éd.), Teologia e filosofia. Alla ricerca di un nuovo rapporto, 1990",Religion theologie,True
http://data.persee.fr/doc/rscir_0035-2217_1959_num_33_1_2215_t1_0084_0000_1#Web,https://www.persee.fr/doc/rscir_0035-2217_1959_num_33_1_2215_t1_0084_0000_1,http://data.persee.fr/authority/280309#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jean Guitton, Jésus. Collection : L'Église et le temps présent, 1956",Religion theologie,True
http://data.persee.fr/doc/russe_1161-0557_2001_num_19_1_2101_t1_0072_0000_2#Web,https://www.persee.fr/doc/russe_1161-0557_2001_num_19_1_2101_t1_0072_0000_2,http://data.persee.fr/authority/281818#Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Katerina Clark, The Soviet Novel. History as Ritual. Troisième édition, 2000",Litterature,True
